date	hour	sends	cards	senders	bursts	burst_sends
2026-08-01	0	5	5	5	0	0
2026-08-01	1	5	4	3	0	0
2026-08-01	2	13	9	9	0	0
2026-08-01	3	14	11	12	0	0
2026-08-01	4	38	21	19	1	8
2026-08-01	5	42	23	27	0	0
2026-08-01	6	63	36	40	0	0
2026-08-01	7	53	32	34	1	5
2026-08-01	8	51	32	34	1	6
2026-08-01	9	24	20	23	0	0
2026-08-01	10	19	15	16	0	0
2026-08-01	11	31	21	23	0	0
2026-08-01	12	34	19	15	1	7
2026-08-01	13	15	9	9	0	0
2026-08-01	14	25	16	16	0	0
2026-08-01	15	24	21	13	0	0
2026-08-01	16	17	12	12	0	0
2026-08-01	17	14	12	11	0	0
2026-08-01	18	15	13	14	0	0
2026-08-01	19	20	13	15	0	0
2026-08-01	20	15	11	9	0	0
2026-08-01	21	19	11	11	0	0
2026-08-01	22	21	13	14	0	0
2026-08-01	23	14	12	11	0	0
2026-08-02	0	13	9	6	0	0
2026-08-02	1	31	19	12	0	0
2026-08-02	2	5	4	5	0	0
2026-08-02	3	14	11	11	0	0
2026-08-02	4	34	24	27	0	0
2026-08-02	5	29	20	22	0	0
2026-08-02	6	68	34	33	3	22
2026-08-02	7	40	26	31	0	0
2026-08-02	8	51	28	32	1	8
2026-08-02	9	26	19	19	0	0
2026-08-02	10	30	22	24	0	0
2026-08-02	11	36	22	25	1	5
2026-08-02	12	18	13	14	0	0
2026-08-02	13	21	12	13	1	7
2026-08-02	14	16	14	13	0	0
2026-08-02	15	22	16	15	0	0
2026-08-02	16	25	20	21	0	0
2026-08-02	17	19	16	13	0	0
2026-08-02	18	16	12	12	0	0
2026-08-02	19	24	11	10	1	7
2026-08-02	20	17	14	15	0	0
2026-08-02	21	16	12	10	0	0
2026-08-02	22	9	7	7	0	0
2026-08-02	23	6	3	4	0	0
2026-08-03	0	7	6	6	0	0
2026-08-03	1	7	6	6	0	0
2026-08-03	2	11	9	7	0	0
2026-08-03	3	27	11	11	1	11
2026-08-03	4	28	19	22	1	5
2026-08-03	5	51	24	31	2	12
2026-08-03	6	42	30	36	0	0
2026-08-03	7	26	24	22	0	0
2026-08-03	8	48	28	30	0	0
2026-08-03	9	26	20	23	0	0
2026-08-03	10	27	20	20	0	0
2026-08-03	11	21	13	16	0	0
2026-08-03	12	16	11	12	0	0
2026-08-03	13	17	13	13	0	0
2026-08-03	14	25	16	17	0	0
2026-08-03	15	20	15	15	0	0
2026-08-03	16	17	14	15	0	0
2026-08-03	17	15	12	15	0	0
2026-08-03	18	14	9	10	0	0
2026-08-03	19	7	6	5	0	0
2026-08-03	20	12	10	9	0	0
2026-08-03	21	6	5	6	0	0
2026-08-03	22	10	8	9	0	0
2026-08-03	23	14	12	11	0	0
2026-08-04	0	30	13	16	0	0
2026-08-04	1	21	14	14	0	0
2026-08-04	2	20	11	11	0	0
