date	surface	sends	categorised	uncategorised	cards	senders	cards_all	senders_all
2026-08-01	App	591	591	0	211	359	326	359
2026-08-01	Web & mobile web	468	428	40	171	0	326	359
2026-08-02	App	586	586	0	214	364	321	364
2026-08-02	Web & mobile web	413	373	40	171	0	321	364
2026-08-03	App	494	494	0	187	347	256	347
2026-08-03	Web & mobile web	271	232	39	101	0	256	347
2026-08-04	App	554	554	0	190	362	252	362
2026-08-04	Web & mobile web	251	216	35	98	0	252	362
2026-08-05	App	483	483	0	165	326	230	326
2026-08-05	Web & mobile web	259	222	37	104	0	230	326
2026-08-06	App	507	507	0	168	346	237	346
2026-08-06	Web & mobile web	231	211	20	103	0	237	346
2026-08-07	App	511	511	0	178	329	251	329
2026-08-07	Web & mobile web	249	225	24	111	0	251	329
2026-08-08	App	576	576	0	172	356	237	356
2026-08-08	Web & mobile web	193	167	26	103	0	237	356
2026-08-09	App	495	495	0	198	327	273	327
2026-08-09	Web & mobile web	216	188	28	107	0	273	327
2026-08-10	App	665	665	0	211	380	285	380
2026-08-10	Web & mobile web	284	257	27	121	0	285	380
2026-08-11	App	515	515	0	194	340	265	340
2026-08-11	Web & mobile web	251	231	20	122	0	265	340
2026-08-12	App	570	570	0	181	374	250	374
2026-08-12	Web & mobile web	265	231	34	114	0	250	374
2026-08-13	App	548	548	0	178	370	253	370
2026-08-13	Web & mobile web	260	227	33	115	0	253	370
2026-08-14	App	603	603	0	195	381	272	381
2026-08-14	Web & mobile web	311	281	30	127	0	272	381
2026-08-15	App	594	594	0	181	370	247	370
2026-08-15	Web & mobile web	234	203	31	101	0	247	370
2026-08-16	App	518	518	0	196	346	263	346
2026-08-16	Web & mobile web	243	202	41	98	0	263	346
2026-08-17	App	501	501	0	201	334	273	334
2026-08-17	Web & mobile web	263	229	34	117	0	273	334
2026-08-18	App	520	520	0	193	382	264	382
2026-08-18	Web & mobile web	302	251	51	116	0	264	382
2026-08-19	App	505	505	0	186	346	236	346
2026-08-19	Web & mobile web	268	225	43	105	0	236	346
2026-08-20	App	534	534	0	175	347	243	347
2026-08-20	Web & mobile web	224	191	33	101	0	243	347
2026-08-21	App	541	537	4	184	357	255	357
2026-08-21	Web & mobile web	228	198	30	104	0	255	357
